Año;Ramas de actividad;Tamaño de la empresa;Tipo de indicador;Total
2013;TOTAL EMPRESAS;250 y más empleados;Diseño, otros preparativos para producción y/o distribución;4.57
2013;TOTAL EMPRESAS;Total;Diseño, otros preparativos para producción y/o distribución;4.02
2013;TOTAL INDUSTRIA;Menos de 250 empleados;Gastos totales (miles de euros);1835743
2013;TOTAL INDUSTRIA;250 y más empleados;Gastos totales (miles de euros);5067784
2013;TOTAL INDUSTRIA;Total;Gastos totales (miles de euros);6903527
2013;TOTAL INDUSTRIA;Menos de 250 empleados;I+D interna;58.03
2013;TOTAL INDUSTRIA;250 y más empleados;I+D interna;42.72
2013;TOTAL INDUSTRIA;Total;I+D interna;46.79
2013;TOTAL INDUSTRIA;Menos de 250 empleados;Adquisición de  I+D (I+D externa);13.15
2013;TOTAL INDUSTRIA;250 y más empleados;Adquisición de  I+D (I+D externa);21.84
2013;TOTAL INDUSTRIA;Total;Adquisición de  I+D (I+D externa);19.53
2013;TOTAL INDUSTRIA;Menos de 250 empleados;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;21.4
2013;TOTAL INDUSTRIA;250 y más empleados;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;23.22
2013;TOTAL INDUSTRIA;Total;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;22.74
2013;TOTAL INDUSTRIA;Menos de 250 empleados;Adquisición de otros conocimientos externos para innovación;0.69
2013;TOTAL INDUSTRIA;250 y más empleados;Adquisición de otros conocimientos externos para innovación;5.09
2013;TOTAL INDUSTRIA;Total;Adquisición de otros conocimientos externos para innovación;3.92
2013;TOTAL INDUSTRIA;Menos de 250 empleados;Formación para actividades de innovación;0.53
2013;TOTAL INDUSTRIA;250 y más empleados;Formación para actividades de innovación;0.19
2013;TOTAL INDUSTRIA;Total;Formación para actividades de innovación;0.28
2013;TOTAL INDUSTRIA;Menos de 250 empleados;Introducción de innovaciones en el mercado;3.6
2013;TOTAL INDUSTRIA;250 y más empleados;Introducción de innovaciones en el mercado;3.51
2013;TOTAL INDUSTRIA;Total;Introducción de innovaciones en el mercado;3.53
2013;TOTAL INDUSTRIA;Menos de 250 empleados;Diseño, otros preparativos para producción y/o distribución;2.59
2013;TOTAL INDUSTRIA;250 y más empleados;Diseño, otros preparativos para producción y/o distribución;3.43
2013;TOTAL INDUSTRIA;Total;Diseño, otros preparativos para producción y/o distribución;3.21
2013;TOTAL SERVICIOS;Menos de 250 empleados;Gastos totales (miles de euros);2552213
2013;TOTAL SERVICIOS;250 y más empleados;Gastos totales (miles de euros);3525950
2013;TOTAL SERVICIOS;Total;Gastos totales (miles de euros);6078163
2013;TOTAL SERVICIOS;Menos de 250 empleados;I+D interna;67.87
2013;TOTAL SERVICIOS;250 y más empleados;I+D interna;40.8
2013;TOTAL SERVICIOS;Total;I+D interna;52.17
2013;TOTAL SERVICIOS;Menos de 250 empleados;Adquisición de  I+D (I+D externa);12.74
2013;TOTAL SERVICIOS;250 y más empleados;Adquisición de  I+D (I+D externa);16.18
2013;TOTAL SERVICIOS;Total;Adquisición de  I+D (I+D externa);14.73
2013;TOTAL SERVICIOS;Menos de 250 empleados;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;10.83
2013;TOTAL SERVICIOS;250 y más empleados;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;21.96
2013;TOTAL SERVICIOS;Total;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;17.29
2013;TOTAL SERVICIOS;Menos de 250 empleados;Adquisición de otros conocimientos externos para innovación;1.5
2013;TOTAL SERVICIOS;250 y más empleados;Adquisición de otros conocimientos externos para innovación;10.44
2013;TOTAL SERVICIOS;Total;Adquisición de otros conocimientos externos para innovación;6.69
2013;TOTAL SERVICIOS;Menos de 250 empleados;Formación para actividades de innovación;1.12
2013;TOTAL SERVICIOS;250 y más empleados;Formación para actividades de innovación;1.4
2013;TOTAL SERVICIOS;Total;Formación para actividades de innovación;1.28
2013;TOTAL SERVICIOS;Menos de 250 empleados;Introducción de innovaciones en el mercado;2.69
2013;TOTAL SERVICIOS;250 y más empleados;Introducción de innovaciones en el mercado;2.89
2013;TOTAL SERVICIOS;Total;Introducción de innovaciones en el mercado;2.8
2013;TOTAL SERVICIOS;Menos de 250 empleados;Diseño, otros preparativos para producción y/o distribución;3.25
2013;TOTAL SERVICIOS;250 y más empleados;Diseño, otros preparativos para producción y/o distribución;6.33
2013;TOTAL SERVICIOS;Total;Diseño, otros preparativos para producción y/o distribución;5.04
2012;TOTAL EMPRESAS;Menos de 250 empleados;Gastos totales (miles de euros);4825337
2012;TOTAL EMPRESAS;250 y más empleados;Gastos totales (miles de euros);8585011
2012;TOTAL EMPRESAS;Total;Gastos totales (miles de euros);13410348
2012;TOTAL EMPRESAS;Menos de 250 empleados;I+D interna;61.53
2012;TOTAL EMPRESAS;250 y más empleados;I+D interna;43.79
2012;TOTAL EMPRESAS;Total;I+D interna;50.17
2012;TOTAL EMPRESAS;Menos de 250 empleados;Adquisición de  I+D (I+D externa);13.13
2012;TOTAL EMPRESAS;250 y más empleados;Adquisición de  I+D (I+D externa);24.9
2012;TOTAL EMPRESAS;Total;Adquisición de  I+D (I+D externa);20.66
2012;TOTAL EMPRESAS;Menos de 250 empleados;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;18.04
2012;TOTAL EMPRESAS;250 y más empleados;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;16.56
2012;TOTAL EMPRESAS;Total;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;17.1
2012;TOTAL EMPRESAS;Menos de 250 empleados;Adquisición de otros conocimientos externos para innovación;0.43
2012;TOTAL EMPRESAS;250 y más empleados;Adquisición de otros conocimientos externos para innovación;6.76
2012;TOTAL EMPRESAS;Total;Adquisición de otros conocimientos externos para innovación;4.48
2012;TOTAL EMPRESAS;Menos de 250 empleados;Formación para actividades de innovación;0.87
2012;TOTAL EMPRESAS;250 y más empleados;Formación para actividades de innovación;0.56
2012;TOTAL EMPRESAS;Total;Formación para actividades de innovación;0.67
2012;TOTAL EMPRESAS;Menos de 250 empleados;Introducción de innovaciones en el mercado;3.26
2012;TOTAL EMPRESAS;250 y más empleados;Introducción de innovaciones en el mercado;3.54
2012;TOTAL EMPRESAS;Total;Introducción de innovaciones en el mercado;3.44
2012;TOTAL EMPRESAS;Menos de 250 empleados;Diseño, otros preparativos para producción y/o distribución;2.73
2012;TOTAL EMPRESAS;250 y más empleados;Diseño, otros preparativos para producción y/o distribución;3.88
2012;TOTAL EMPRESAS;Total;Diseño, otros preparativos para producción y/o distribución;3.47
2012;TOTAL INDUSTRIA;Menos de 250 empleados;Gastos totales (miles de euros);1939943
2012;TOTAL INDUSTRIA;250 y más empleados;Gastos totales (miles de euros);4852553
2012;TOTAL INDUSTRIA;Total;Gastos totales (miles de euros);6792496
2012;TOTAL INDUSTRIA;Menos de 250 empleados;I+D interna;56.95
2012;TOTAL INDUSTRIA;250 y más empleados;I+D interna;46.57
2012;TOTAL INDUSTRIA;Total;I+D interna;49.54
2012;TOTAL INDUSTRIA;Menos de 250 empleados;Adquisición de  I+D (I+D externa);12.96
2012;TOTAL INDUSTRIA;250 y más empleados;Adquisición de  I+D (I+D externa);27.05
2012;TOTAL INDUSTRIA;Total;Adquisición de  I+D (I+D externa);23.02
2012;TOTAL INDUSTRIA;Menos de 250 empleados;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;22.84
2012;TOTAL INDUSTRIA;250 y más empleados;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;14.05
2012;TOTAL INDUSTRIA;Total;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;16.56
2012;TOTAL INDUSTRIA;Menos de 250 empleados;Adquisición de otros conocimientos externos para innovación;0.56
2012;TOTAL INDUSTRIA;250 y más empleados;Adquisición de otros conocimientos externos para innovación;6.43
2012;TOTAL INDUSTRIA;Total;Adquisición de otros conocimientos externos para innovación;4.75
2012;TOTAL INDUSTRIA;Menos de 250 empleados;Formación para actividades de innovación;0.73
2012;TOTAL INDUSTRIA;250 y más empleados;Formación para actividades de innovación;0.2
2012;TOTAL INDUSTRIA;Total;Formación para actividades de innovación;0.35
2012;TOTAL INDUSTRIA;Menos de 250 empleados;Introducción de innovaciones en el mercado;3.56
2012;TOTAL INDUSTRIA;250 y más empleados;Introducción de innovaciones en el mercado;3.32
2012;TOTAL INDUSTRIA;Total;Introducción de innovaciones en el mercado;3.39
2012;TOTAL INDUSTRIA;Menos de 250 empleados;Diseño, otros preparativos para producción y/o distribución;2.41
2012;TOTAL INDUSTRIA;250 y más empleados;Diseño, otros preparativos para producción y/o distribución;2.38
2012;TOTAL INDUSTRIA;Total;Diseño, otros preparativos para producción y/o distribución;2.39
2012;TOTAL SERVICIOS;Menos de 250 empleados;Gastos totales (miles de euros);2687808
2012;TOTAL SERVICIOS;250 y más empleados;Gastos totales (miles de euros);3618844
2012;TOTAL SERVICIOS;Total;Gastos totales (miles de euros);6306652
2012;TOTAL SERVICIOS;Menos de 250 empleados;I+D interna;66.2
2012;TOTAL SERVICIOS;250 y más empleados;I+D interna;38.79
2012;TOTAL SERVICIOS;Total;I+D interna;50.47
2012;TOTAL SERVICIOS;Menos de 250 empleados;Adquisición de  I+D (I+D externa);13.25
2012;TOTAL SERVICIOS;250 y más empleados;Adquisición de  I+D (I+D externa);22.48
2012;TOTAL SERVICIOS;Total;Adquisición de  I+D (I+D externa);18.55
2012;TOTAL SERVICIOS;Menos de 250 empleados;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;13.23
2012;TOTAL SERVICIOS;250 y más empleados;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;20.38
2012;TOTAL SERVICIOS;Total;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;17.33
2012;TOTAL SERVICIOS;Menos de 250 empleados;Adquisición de otros conocimientos externos para innovación;0.36
2012;TOTAL SERVICIOS;250 y más empleados;Adquisición de otros conocimientos externos para innovación;7.42
2012;TOTAL SERVICIOS;Total;Adquisición de otros conocimientos externos para innovación;4.41
2012;TOTAL SERVICIOS;Menos de 250 empleados;Formación para actividades de innovación;0.93
2012;TOTAL SERVICIOS;250 y más empleados;Formación para actividades de innovación;1.05
2012;TOTAL SERVICIOS;Total;Formación para actividades de innovación;1
2012;TOTAL SERVICIOS;Menos de 250 empleados;Introducción de innovaciones en el mercado;3.16
2012;TOTAL SERVICIOS;250 y más empleados;Introducción de innovaciones en el mercado;3.91
2012;TOTAL SERVICIOS;Total;Introducción de innovaciones en el mercado;3.59
2012;TOTAL SERVICIOS;Menos de 250 empleados;Diseño, otros preparativos para producción y/o distribución;2.86
2012;TOTAL SERVICIOS;250 y más empleados;Diseño, otros preparativos para producción y/o distribución;5.97
2012;TOTAL SERVICIOS;Total;Diseño, otros preparativos para producción y/o distribución;4.64
2011;TOTAL EMPRESAS;Menos de 250 empleados;Gastos totales (miles de euros);5531649
2011;TOTAL EMPRESAS;250 y más empleados;Gastos totales (miles de euros);9224158
2011;TOTAL EMPRESAS;Total;Gastos totales (miles de euros);14755807
2011;TOTAL EMPRESAS;Menos de 250 empleados;I+D interna;57.71
2011;TOTAL EMPRESAS;250 y más empleados;I+D interna;41.29
2011;TOTAL EMPRESAS;Total;I+D interna;47.44
2011;TOTAL EMPRESAS;Menos de 250 empleados;Adquisición de  I+D (I+D externa);12.77
2011;TOTAL EMPRESAS;250 y más empleados;Adquisición de  I+D (I+D externa);25.23
2011;TOTAL EMPRESAS;Total;Adquisición de  I+D (I+D externa);20.56
2011;TOTAL EMPRESAS;Menos de 250 empleados;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;22.7
2011;TOTAL EMPRESAS;250 y más empleados;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;18.65
2011;TOTAL EMPRESAS;Total;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;20.16
2011;TOTAL EMPRESAS;Menos de 250 empleados;Adquisición de otros conocimientos externos para innovación;0.88
2011;TOTAL EMPRESAS;250 y más empleados;Adquisición de otros conocimientos externos para innovación;6.4
2011;TOTAL EMPRESAS;Total;Adquisición de otros conocimientos externos para innovación;4.33
2011;TOTAL EMPRESAS;Menos de 250 empleados;Formación para actividades de innovación;0.89
2011;TOTAL EMPRESAS;250 y más empleados;Formación para actividades de innovación;0.59
2011;TOTAL EMPRESAS;Total;Formación para actividades de innovación;0.7
2011;TOTAL EMPRESAS;Menos de 250 empleados;Introducción de innovaciones en el mercado;3.33
2011;TOTAL EMPRESAS;250 y más empleados;Introducción de innovaciones en el mercado;3.39
2011;TOTAL EMPRESAS;Total;Introducción de innovaciones en el mercado;3.37
2011;TOTAL EMPRESAS;Menos de 250 empleados;Diseño, otros preparativos para producción y/o distribución;1.73
2011;TOTAL EMPRESAS;250 y más empleados;Diseño, otros preparativos para producción y/o distribución;4.45
2011;TOTAL EMPRESAS;Total;Diseño, otros preparativos para producción y/o distribución;3.43
2011;TOTAL INDUSTRIA;Menos de 250 empleados;Gastos totales (miles de euros);2385991
2011;TOTAL INDUSTRIA;250 y más empleados;Gastos totales (miles de euros);4889049
2011;TOTAL INDUSTRIA;Total;Gastos totales (miles de euros);7275040
2011;TOTAL INDUSTRIA;Menos de 250 empleados;I+D interna;52.12
2011;TOTAL INDUSTRIA;250 y más empleados;I+D interna;46.9
2011;TOTAL INDUSTRIA;Total;I+D interna;48.61
2011;TOTAL INDUSTRIA;Menos de 250 empleados;Adquisición de  I+D (I+D externa);13.33
2011;TOTAL INDUSTRIA;250 y más empleados;Adquisición de  I+D (I+D externa);26.59
2011;TOTAL INDUSTRIA;Total;Adquisición de  I+D (I+D externa);22.24
2011;TOTAL INDUSTRIA;Menos de 250 empleados;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;28
2011;TOTAL INDUSTRIA;250 y más empleados;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;11.63
2011;TOTAL INDUSTRIA;Total;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;17
2011;TOTAL INDUSTRIA;Menos de 250 empleados;Adquisición de otros conocimientos externos para innovación;0.38
2011;TOTAL INDUSTRIA;250 y más empleados;Adquisición de otros conocimientos externos para innovación;8.24
2011;TOTAL INDUSTRIA;Total;Adquisición de otros conocimientos externos para innovación;5.66
2011;TOTAL INDUSTRIA;Menos de 250 empleados;Formación para actividades de innovación;0.56
2011;TOTAL INDUSTRIA;250 y más empleados;Formación para actividades de innovación;0.31
2011;TOTAL INDUSTRIA;Total;Formación para actividades de innovación;0.39
2011;TOTAL INDUSTRIA;Menos de 250 empleados;Introducción de innovaciones en el mercado;3.28
2011;TOTAL INDUSTRIA;250 y más empleados;Introducción de innovaciones en el mercado;4.05
2011;TOTAL INDUSTRIA;Total;Introducción de innovaciones en el mercado;3.8
2011;TOTAL INDUSTRIA;Menos de 250 empleados;Diseño, otros preparativos para producción y/o distribución;2.34
2011;TOTAL INDUSTRIA;250 y más empleados;Diseño, otros preparativos para producción y/o distribución;2.28
2011;TOTAL INDUSTRIA;Total;Diseño, otros preparativos para producción y/o distribución;2.3
2011;TOTAL SERVICIOS;Menos de 250 empleados;Gastos totales (miles de euros);2902184
2011;TOTAL SERVICIOS;250 y más empleados;Gastos totales (miles de euros);4193776
2011;TOTAL SERVICIOS;Total;Gastos totales (miles de euros);7095960
2011;TOTAL SERVICIOS;Menos de 250 empleados;I+D interna;63.89
2011;TOTAL SERVICIOS;250 y más empleados;I+D interna;33.56
2011;TOTAL SERVICIOS;Total;I+D interna;45.96
2011;TOTAL SERVICIOS;Menos de 250 empleados;Adquisición de  I+D (I+D externa);12.62
2011;TOTAL SERVICIOS;250 y más empleados;Adquisición de  I+D (I+D externa);24.14
2011;TOTAL SERVICIOS;Total;Adquisición de  I+D (I+D externa);19.43
2011;TOTAL SERVICIOS;Menos de 250 empleados;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;16.47
2011;TOTAL SERVICIOS;250 y más empleados;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;27.25
2011;TOTAL SERVICIOS;Total;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;22.84
2011;TOTAL SERVICIOS;Menos de 250 empleados;Adquisición de otros conocimientos externos para innovación;1.33
2011;TOTAL SERVICIOS;250 y más empleados;Adquisición de otros conocimientos externos para innovación;4.47
2011;TOTAL SERVICIOS;Total;Adquisición de otros conocimientos externos para innovación;3.19
2011;TOTAL SERVICIOS;Menos de 250 empleados;Formación para actividades de innovación;1.07
2011;TOTAL SERVICIOS;250 y más empleados;Formación para actividades de innovación;0.94
2011;TOTAL SERVICIOS;Total;Formación para actividades de innovación;0.99
2011;TOTAL SERVICIOS;Menos de 250 empleados;Introducción de innovaciones en el mercado;3.37
2011;TOTAL SERVICIOS;250 y más empleados;Introducción de innovaciones en el mercado;2.66
2011;TOTAL SERVICIOS;Total;Introducción de innovaciones en el mercado;2.95
2011;TOTAL SERVICIOS;Menos de 250 empleados;Diseño, otros preparativos para producción y/o distribución;1.24
2011;TOTAL SERVICIOS;250 y más empleados;Diseño, otros preparativos para producción y/o distribución;6.98
2011;TOTAL SERVICIOS;Total;Diseño, otros preparativos para producción y/o distribución;4.63
2010;TOTAL EMPRESAS;Menos de 250 empleados;Gastos totales (miles de euros);6302302
2010;TOTAL EMPRESAS;250 y más empleados;Gastos totales (miles de euros);9868916
2010;TOTAL EMPRESAS;Total;Gastos totales (miles de euros);16171218
2010;TOTAL EMPRESAS;Menos de 250 empleados;I+D interna;54.69
2010;TOTAL EMPRESAS;250 y más empleados;I+D interna;37.89
2010;TOTAL EMPRESAS;Total;I+D interna;44.44
2010;TOTAL EMPRESAS;Menos de 250 empleados;Adquisición de  I+D (I+D externa);11.9
2010;TOTAL EMPRESAS;250 y más empleados;Adquisición de  I+D (I+D externa);21.57
2010;TOTAL EMPRESAS;Total;Adquisición de  I+D (I+D externa);17.8
2010;TOTAL EMPRESAS;Menos de 250 empleados;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;25.15
2010;TOTAL EMPRESAS;250 y más empleados;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;25.01
2010;TOTAL EMPRESAS;Total;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;25.07
2010;TOTAL EMPRESAS;Menos de 250 empleados;Adquisición de otros conocimientos externos para innovación;0.65
2010;TOTAL EMPRESAS;250 y más empleados;Adquisición de otros conocimientos externos para innovación;6.43
2010;TOTAL EMPRESAS;Total;Adquisición de otros conocimientos externos para innovación;4.17
2010;TOTAL EMPRESAS;Menos de 250 empleados;Formación para actividades de innovación;1.14
2010;TOTAL EMPRESAS;250 y más empleados;Formación para actividades de innovación;0.58
2010;TOTAL EMPRESAS;Total;Formación para actividades de innovación;0.8
2010;TOTAL EMPRESAS;Menos de 250 empleados;Introducción de innovaciones en el mercado;3.58
2010;TOTAL EMPRESAS;250 y más empleados;Introducción de innovaciones en el mercado;5.07
2010;TOTAL EMPRESAS;Total;Introducción de innovaciones en el mercado;4.49
2010;TOTAL EMPRESAS;Menos de 250 empleados;Diseño, otros preparativos para producción y/o distribución;2.89
2010;TOTAL EMPRESAS;250 y más empleados;Diseño, otros preparativos para producción y/o distribución;3.45
2010;TOTAL EMPRESAS;Total;Diseño, otros preparativos para producción y/o distribución;3.23
2010;TOTAL INDUSTRIA;Menos de 250 empleados;Gastos totales (miles de euros);2618345
2010;TOTAL INDUSTRIA;250 y más empleados;Gastos totales (miles de euros);4881049
2010;TOTAL INDUSTRIA;Total;Gastos totales (miles de euros);7499395
2010;TOTAL INDUSTRIA;Menos de 250 empleados;I+D interna;49.92
2010;TOTAL INDUSTRIA;250 y más empleados;I+D interna;44.67
2010;TOTAL INDUSTRIA;Total;I+D interna;46.51
2010;TOTAL INDUSTRIA;Menos de 250 empleados;Adquisición de  I+D (I+D externa);12.14
2010;TOTAL INDUSTRIA;250 y más empleados;Adquisición de  I+D (I+D externa);25.17
2010;TOTAL INDUSTRIA;Total;Adquisición de  I+D (I+D externa);20.62
2010;TOTAL INDUSTRIA;Menos de 250 empleados;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;28.14
2010;TOTAL INDUSTRIA;250 y más empleados;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;14.9
2010;TOTAL INDUSTRIA;Total;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;19.52
2010;TOTAL INDUSTRIA;Menos de 250 empleados;Adquisición de otros conocimientos externos para innovación;0.48
2010;TOTAL INDUSTRIA;250 y más empleados;Adquisición de otros conocimientos externos para innovación;8.54
2010;TOTAL INDUSTRIA;Total;Adquisición de otros conocimientos externos para innovación;5.73
2010;TOTAL INDUSTRIA;Menos de 250 empleados;Formación para actividades de innovación;0.76
2010;TOTAL INDUSTRIA;250 y más empleados;Formación para actividades de innovación;0.4
2010;TOTAL INDUSTRIA;Total;Formación para actividades de innovación;0.52
2010;TOTAL INDUSTRIA;Menos de 250 empleados;Introducción de innovaciones en el mercado;4.78
2010;TOTAL INDUSTRIA;250 y más empleados;Introducción de innovaciones en el mercado;5.3
2010;TOTAL INDUSTRIA;Total;Introducción de innovaciones en el mercado;5.12
2010;TOTAL INDUSTRIA;Menos de 250 empleados;Diseño, otros preparativos para producción y/o distribución;3.77
2010;TOTAL INDUSTRIA;250 y más empleados;Diseño, otros preparativos para producción y/o distribución;1.03
2010;TOTAL INDUSTRIA;Total;Diseño, otros preparativos para producción y/o distribución;1.99
2010;TOTAL SERVICIOS;Menos de 250 empleados;Gastos totales (miles de euros);3346838
2010;TOTAL SERVICIOS;250 y más empleados;Gastos totales (miles de euros);4845060
2010;TOTAL SERVICIOS;Total;Gastos totales (miles de euros);8191899
2010;TOTAL SERVICIOS;Menos de 250 empleados;I+D interna;60.93
2010;TOTAL SERVICIOS;250 y más empleados;I+D interna;29.98
2010;TOTAL SERVICIOS;Total;I+D interna;42.63
2010;TOTAL SERVICIOS;Menos de 250 empleados;Adquisición de  I+D (I+D externa);12.19
2010;TOTAL SERVICIOS;250 y más empleados;Adquisición de  I+D (I+D externa);18.17
2010;TOTAL SERVICIOS;Total;Adquisición de  I+D (I+D externa);15.72
2010;TOTAL SERVICIOS;Menos de 250 empleados;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;19.73
2010;TOTAL SERVICIOS;250 y más empleados;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;35.78
2010;TOTAL SERVICIOS;Total;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;29.22
2010;TOTAL SERVICIOS;Menos de 250 empleados;Adquisición de otros conocimientos externos para innovación;0.8
2010;TOTAL SERVICIOS;250 y más empleados;Adquisición de otros conocimientos externos para innovación;4.48
2010;TOTAL SERVICIOS;Total;Adquisición de otros conocimientos externos para innovación;2.98
2010;TOTAL SERVICIOS;Menos de 250 empleados;Formación para actividades de innovación;1.34
2010;TOTAL SERVICIOS;250 y más empleados;Formación para actividades de innovación;0.77
2010;TOTAL SERVICIOS;Total;Formación para actividades de innovación;1
2010;TOTAL SERVICIOS;Menos de 250 empleados;Introducción de innovaciones en el mercado;2.88
2010;TOTAL SERVICIOS;250 y más empleados;Introducción de innovaciones en el mercado;4.9
2010;TOTAL SERVICIOS;Total;Introducción de innovaciones en el mercado;4.08
2010;TOTAL SERVICIOS;Menos de 250 empleados;Diseño, otros preparativos para producción y/o distribución;2.14
2010;TOTAL SERVICIOS;250 y más empleados;Diseño, otros preparativos para producción y/o distribución;5.92
2010;TOTAL SERVICIOS;Total;Diseño, otros preparativos para producción y/o distribución;4.38
2009;TOTAL EMPRESAS;Menos de 250 empleados;Gastos totales (miles de euros);7075251
2009;TOTAL EMPRESAS;250 y más empleados;Gastos totales (miles de euros);10561372
2009;TOTAL EMPRESAS;Total;Gastos totales (miles de euros);17636624
2009;TOTAL EMPRESAS;Menos de 250 empleados;I+D interna;50.43
2009;TOTAL EMPRESAS;250 y más empleados;I+D interna;35.01
2009;TOTAL EMPRESAS;Total;I+D interna;41.19
2009;TOTAL EMPRESAS;Menos de 250 empleados;Adquisición de  I+D (I+D externa);12.53
2009;TOTAL EMPRESAS;250 y más empleados;Adquisición de  I+D (I+D externa);15.97
2009;TOTAL EMPRESAS;Total;Adquisición de  I+D (I+D externa);14.59
2009;TOTAL EMPRESAS;Menos de 250 empleados;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;27.88
2009;TOTAL EMPRESAS;250 y más empleados;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;31.58
2009;TOTAL EMPRESAS;Total;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;30.1
2009;TOTAL EMPRESAS;Menos de 250 empleados;Adquisición de otros conocimientos externos para innovación;0.93
2009;TOTAL EMPRESAS;250 y más empleados;Adquisición de otros conocimientos externos para innovación;7.52
2009;TOTAL EMPRESAS;Total;Adquisición de otros conocimientos externos para innovación;4.87
2009;TOTAL EMPRESAS;Menos de 250 empleados;Formación para actividades de innovación;0.5
2009;TOTAL EMPRESAS;250 y más empleados;Formación para actividades de innovación;0.53
2009;TOTAL EMPRESAS;Total;Formación para actividades de innovación;0.52
2009;TOTAL EMPRESAS;Menos de 250 empleados;Introducción de innovaciones en el mercado;4.7
2009;TOTAL EMPRESAS;250 y más empleados;Introducción de innovaciones en el mercado;6.04
2009;TOTAL EMPRESAS;Total;Introducción de innovaciones en el mercado;5.5
2009;TOTAL EMPRESAS;Menos de 250 empleados;Diseño, otros preparativos para producción y/o distribución;3.03
2009;TOTAL EMPRESAS;250 y más empleados;Diseño, otros preparativos para producción y/o distribución;3.36
2009;TOTAL EMPRESAS;Total;Diseño, otros preparativos para producción y/o distribución;3.23
2009;TOTAL INDUSTRIA;Menos de 250 empleados;Gastos totales (miles de euros);3000189
2009;TOTAL INDUSTRIA;250 y más empleados;Gastos totales (miles de euros);4624641
2009;TOTAL INDUSTRIA;Total;Gastos totales (miles de euros);7624830
2009;TOTAL INDUSTRIA;Menos de 250 empleados;I+D interna;46.26
2009;TOTAL INDUSTRIA;250 y más empleados;I+D interna;44.9
2009;TOTAL INDUSTRIA;Total;I+D interna;45.43
2009;TOTAL INDUSTRIA;Menos de 250 empleados;Adquisición de  I+D (I+D externa);11.99
2009;TOTAL INDUSTRIA;250 y más empleados;Adquisición de  I+D (I+D externa);19.24
2009;TOTAL INDUSTRIA;Total;Adquisición de  I+D (I+D externa);16.39
2009;TOTAL INDUSTRIA;Menos de 250 empleados;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;31.39
2009;TOTAL INDUSTRIA;250 y más empleados;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;16.86
2009;TOTAL INDUSTRIA;Total;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;22.58
2009;TOTAL INDUSTRIA;Menos de 250 empleados;Adquisición de otros conocimientos externos para innovación;0.93
2009;TOTAL INDUSTRIA;250 y más empleados;Adquisición de otros conocimientos externos para innovación;11.74
2009;TOTAL INDUSTRIA;Total;Adquisición de otros conocimientos externos para innovación;7.49
2009;TOTAL INDUSTRIA;Menos de 250 empleados;Formación para actividades de innovación;0.39
2009;TOTAL INDUSTRIA;250 y más empleados;Formación para actividades de innovación;0.38
2009;TOTAL INDUSTRIA;Total;Formación para actividades de innovación;0.38
2009;TOTAL INDUSTRIA;Menos de 250 empleados;Introducción de innovaciones en el mercado;5.12
2009;TOTAL INDUSTRIA;250 y más empleados;Introducción de innovaciones en el mercado;5.14
2009;TOTAL INDUSTRIA;Total;Introducción de innovaciones en el mercado;5.13
2009;TOTAL INDUSTRIA;Menos de 250 empleados;Diseño, otros preparativos para producción y/o distribución;3.93
2009;TOTAL INDUSTRIA;250 y más empleados;Diseño, otros preparativos para producción y/o distribución;1.73
