Año;Ramas de actividad;Tamaño de la empresa;Tipo de indicador;Total
2017;TOTAL SERVICIOS;Total;Diseño, otros preparativos para producción y/o distribución;9.07
2016;TOTAL EMPRESAS;Menos de 250 empleados;Gastos totales (miles de euros);4583996
2016;TOTAL EMPRESAS;250 y más empleados;Gastos totales (miles de euros);9273485
2016;TOTAL EMPRESAS;Total;Gastos totales (miles de euros);13857481
2016;TOTAL EMPRESAS;Menos de 250 empleados;I+D interna;63.85
2016;TOTAL EMPRESAS;250 y más empleados;I+D interna;41.35
2016;TOTAL EMPRESAS;Total;I+D interna;48.8
2016;TOTAL EMPRESAS;Menos de 250 empleados;Adquisición de  I+D (I+D externa);10.4
2016;TOTAL EMPRESAS;250 y más empleados;Adquisición de  I+D (I+D externa);17.51
2016;TOTAL EMPRESAS;Total;Adquisición de  I+D (I+D externa);15.16
2016;TOTAL EMPRESAS;Menos de 250 empleados;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;17.35
2016;TOTAL EMPRESAS;250 y más empleados;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;24.05
2016;TOTAL EMPRESAS;Total;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;21.83
2016;TOTAL EMPRESAS;Menos de 250 empleados;Adquisición de otros conocimientos externos para innovación;0.52
2016;TOTAL EMPRESAS;250 y más empleados;Adquisición de otros conocimientos externos para innovación;7.44
2016;TOTAL EMPRESAS;Total;Adquisición de otros conocimientos externos para innovación;5.15
2016;TOTAL EMPRESAS;Menos de 250 empleados;Formación para actividades de innovación;0.72
2016;TOTAL EMPRESAS;250 y más empleados;Formación para actividades de innovación;0.41
2016;TOTAL EMPRESAS;Total;Formación para actividades de innovación;0.51
2016;TOTAL EMPRESAS;Menos de 250 empleados;Introducción de innovaciones en el mercado;3.07
2016;TOTAL EMPRESAS;250 y más empleados;Introducción de innovaciones en el mercado;2.74
2016;TOTAL EMPRESAS;Total;Introducción de innovaciones en el mercado;2.85
2016;TOTAL EMPRESAS;Menos de 250 empleados;Diseño, otros preparativos para producción y/o distribución;4.08
2016;TOTAL EMPRESAS;250 y más empleados;Diseño, otros preparativos para producción y/o distribución;6.5
2016;TOTAL EMPRESAS;Total;Diseño, otros preparativos para producción y/o distribución;5.7
2016;TOTAL INDUSTRIA;Menos de 250 empleados;Gastos totales (miles de euros);1969472
2016;TOTAL INDUSTRIA;250 y más empleados;Gastos totales (miles de euros);4858812
2016;TOTAL INDUSTRIA;Total;Gastos totales (miles de euros);6828284
2016;TOTAL INDUSTRIA;Menos de 250 empleados;I+D interna;55.03
2016;TOTAL INDUSTRIA;250 y más empleados;I+D interna;48.07
2016;TOTAL INDUSTRIA;Total;I+D interna;50.08
2016;TOTAL INDUSTRIA;Menos de 250 empleados;Adquisición de  I+D (I+D externa);12.63
2016;TOTAL INDUSTRIA;250 y más empleados;Adquisición de  I+D (I+D externa);22.26
2016;TOTAL INDUSTRIA;Total;Adquisición de  I+D (I+D externa);19.48
2016;TOTAL INDUSTRIA;Menos de 250 empleados;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;25.3
2016;TOTAL INDUSTRIA;250 y más empleados;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;19.16
2016;TOTAL INDUSTRIA;Total;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;20.93
2016;TOTAL INDUSTRIA;Menos de 250 empleados;Adquisición de otros conocimientos externos para innovación;0.52
2016;TOTAL INDUSTRIA;250 y más empleados;Adquisición de otros conocimientos externos para innovación;4.48
2016;TOTAL INDUSTRIA;Total;Adquisición de otros conocimientos externos para innovación;3.33
2016;TOTAL INDUSTRIA;Menos de 250 empleados;Formación para actividades de innovación;0.53
2016;TOTAL INDUSTRIA;250 y más empleados;Formación para actividades de innovación;0.14
2016;TOTAL INDUSTRIA;Total;Formación para actividades de innovación;0.25
2016;TOTAL INDUSTRIA;Menos de 250 empleados;Introducción de innovaciones en el mercado;3.12
2016;TOTAL INDUSTRIA;250 y más empleados;Introducción de innovaciones en el mercado;2.91
2016;TOTAL INDUSTRIA;Total;Introducción de innovaciones en el mercado;2.97
2016;TOTAL INDUSTRIA;Menos de 250 empleados;Diseño, otros preparativos para producción y/o distribución;2.88
